group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),parallel_map-t4,1,1,elements,1067333.0,ns,27
fibonacci(10),parallel_map-t4,1,1,elements,2155665.0,ns,54
fibonacci(10),parallel_map-t4,1,1,elements,3191684.0,ns,81
fibonacci(10),parallel_map-t4,1,1,elements,3980595.0,ns,108
fibonacci(10),parallel_map-t4,1,1,elements,5980146.0,ns,135
fibonacci(10),parallel_map-t4,1,1,elements,5961681.0,ns,162
fibonacci(10),parallel_map-t4,1,1,elements,6834093.0,ns,189
fibonacci(10),parallel_map-t4,1,1,elements,7625987.0,ns,216
fibonacci(10),parallel_map-t4,1,1,elements,8810808.0,ns,243
fibonacci(10),parallel_map-t4,1,1,elements,9835153.0,ns,270
fibonacci(10),parallel_map-t4,1,1,elements,10723419.0,ns,297
fibonacci(10),parallel_map-t4,1,1,elements,12970766.0,ns,324
fibonacci(10),parallel_map-t4,1,1,elements,12562430.0,ns,351
fibonacci(10),parallel_map-t4,1,1,elements,14041452.0,ns,378
fibonacci(10),parallel_map-t4,1,1,elements,14938618.0,ns,405
fibonacci(10),parallel_map-t4,1,1,elements,17061330.0,ns,432
fibonacci(10),parallel_map-t4,1,1,elements,16926517.0,ns,459
fibonacci(10),parallel_map-t4,1,1,elements,18309498.0,ns,486
fibonacci(10),parallel_map-t4,1,1,elements,18910140.0,ns,513
fibonacci(10),parallel_map-t4,1,1,elements,20958337.0,ns,540
fibonacci(10),parallel_map-t4,1,1,elements,20808724.0,ns,567
fibonacci(10),parallel_map-t4,1,1,elements,23781162.0,ns,594
fibonacci(10),parallel_map-t4,1,1,elements,24035725.0,ns,621
fibonacci(10),parallel_map-t4,1,1,elements,25787511.0,ns,648
fibonacci(10),parallel_map-t4,1,1,elements,26926572.0,ns,675
fibonacci(10),parallel_map-t4,1,1,elements,26409186.0,ns,702
fibonacci(10),parallel_map-t4,1,1,elements,32866777.0,ns,729
fibonacci(10),parallel_map-t4,1,1,elements,28752637.0,ns,756
fibonacci(10),parallel_map-t4,1,1,elements,30955712.0,ns,783
fibonacci(10),parallel_map-t4,1,1,elements,32904272.0,ns,810
fibonacci(10),parallel_map-t4,1,1,elements,33235165.0,ns,837
fibonacci(10),parallel_map-t4,1,1,elements,34127747.0,ns,864
fibonacci(10),parallel_map-t4,1,1,elements,37405143.0,ns,891
fibonacci(10),parallel_map-t4,1,1,elements,35343002.0,ns,918
fibonacci(10),parallel_map-t4,1,1,elements,38115709.0,ns,945
fibonacci(10),parallel_map-t4,1,1,elements,44177518.0,ns,972
fibonacci(10),parallel_map-t4,1,1,elements,38752749.0,ns,999
fibonacci(10),parallel_map-t4,1,1,elements,41676981.0,ns,1026
fibonacci(10),parallel_map-t4,1,1,elements,39217252.0,ns,1053
fibonacci(10),parallel_map-t4,1,1,elements,40573999.0,ns,1080
fibonacci(10),parallel_map-t4,1,1,elements,41520733.0,ns,1107
fibonacci(10),parallel_map-t4,1,1,elements,42127658.0,ns,1134
fibonacci(10),parallel_map-t4,1,1,elements,44376953.0,ns,1161
fibonacci(10),parallel_map-t4,1,1,elements,45858805.0,ns,1188
fibonacci(10),parallel_map-t4,1,1,elements,44727837.0,ns,1215
fibonacci(10),parallel_map-t4,1,1,elements,55925626.0,ns,1242
fibonacci(10),parallel_map-t4,1,1,elements,52386476.0,ns,1269
fibonacci(10),parallel_map-t4,1,1,elements,51959552.0,ns,1296
fibonacci(10),parallel_map-t4,1,1,elements,50884266.0,ns,1323
fibonacci(10),parallel_map-t4,1,1,elements,51903515.0,ns,1350
fibonacci(10),parallel_map-t4,1,1,elements,53346368.0,ns,1377
fibonacci(10),parallel_map-t4,1,1,elements,55851182.0,ns,1404
fibonacci(10),parallel_map-t4,1,1,elements,54866738.0,ns,1431
fibonacci(10),parallel_map-t4,1,1,elements,55546433.0,ns,1458
fibonacci(10),parallel_map-t4,1,1,elements,56770569.0,ns,1485
fibonacci(10),parallel_map-t4,1,1,elements,56355398.0,ns,1512
fibonacci(10),parallel_map-t4,1,1,elements,58402128.0,ns,1539
fibonacci(10),parallel_map-t4,1,1,elements,59152984.0,ns,1566
