group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),parallel_map-t1,1000,1000,elements,1018982.0,ns,4
fibonacci(10),parallel_map-t1,1000,1000,elements,2118947.0,ns,8
fibonacci(10),parallel_map-t1,1000,1000,elements,3022782.0,ns,12
fibonacci(10),parallel_map-t1,1000,1000,elements,4067965.0,ns,16
fibonacci(10),parallel_map-t1,1000,1000,elements,5051838.0,ns,20
fibonacci(10),parallel_map-t1,1000,1000,elements,6182623.0,ns,24
fibonacci(10),parallel_map-t1,1000,1000,elements,7150918.0,ns,28
fibonacci(10),parallel_map-t1,1000,1000,elements,8228864.0,ns,32
fibonacci(10),parallel_map-t1,1000,1000,elements,9148098.0,ns,36
fibonacci(10),parallel_map-t1,1000,1000,elements,10160005.0,ns,40
fibonacci(10),parallel_map-t1,1000,1000,elements,11533862.0,ns,44
fibonacci(10),parallel_map-t1,1000,1000,elements,12434444.0,ns,48
fibonacci(10),parallel_map-t1,1000,1000,elements,13248093.0,ns,52
fibonacci(10),parallel_map-t1,1000,1000,elements,14424711.0,ns,56
fibonacci(10),parallel_map-t1,1000,1000,elements,15180656.0,ns,60
fibonacci(10),parallel_map-t1,1000,1000,elements,16272380.0,ns,64
fibonacci(10),parallel_map-t1,1000,1000,elements,17421730.0,ns,68
fibonacci(10),parallel_map-t1,1000,1000,elements,18248924.0,ns,72
fibonacci(10),parallel_map-t1,1000,1000,elements,19211485.0,ns,76
fibonacci(10),parallel_map-t1,1000,1000,elements,20013213.0,ns,80
fibonacci(10),parallel_map-t1,1000,1000,elements,22084925.0,ns,84
fibonacci(10),parallel_map-t1,1000,1000,elements,22586029.0,ns,88
fibonacci(10),parallel_map-t1,1000,1000,elements,24205753.0,ns,92
fibonacci(10),parallel_map-t1,1000,1000,elements,24669685.0,ns,96
fibonacci(10),parallel_map-t1,1000,1000,elements,25752874.0,ns,100
fibonacci(10),parallel_map-t1,1000,1000,elements,26793875.0,ns,104
fibonacci(10),parallel_map-t1,1000,1000,elements,27628081.0,ns,108
fibonacci(10),parallel_map-t1,1000,1000,elements,28657859.0,ns,112
fibonacci(10),parallel_map-t1,1000,1000,elements,29853586.0,ns,116
fibonacci(10),parallel_map-t1,1000,1000,elements,30923293.0,ns,120
fibonacci(10),parallel_map-t1,1000,1000,elements,32644453.0,ns,124
fibonacci(10),parallel_map-t1,1000,1000,elements,32798574.0,ns,128
fibonacci(10),parallel_map-t1,1000,1000,elements,34268166.0,ns,132
fibonacci(10),parallel_map-t1,1000,1000,elements,35033662.0,ns,136
fibonacci(10),parallel_map-t1,1000,1000,elements,36015613.0,ns,140
fibonacci(10),parallel_map-t1,1000,1000,elements,37477760.0,ns,144
fibonacci(10),parallel_map-t1,1000,1000,elements,38007350.0,ns,148
fibonacci(10),parallel_map-t1,1000,1000,elements,38908673.0,ns,152
fibonacci(10),parallel_map-t1,1000,1000,elements,40238605.0,ns,156
fibonacci(10),parallel_map-t1,1000,1000,elements,41164392.0,ns,160
fibonacci(10),parallel_map-t1,1000,1000,elements,42781258.0,ns,164
fibonacci(10),parallel_map-t1,1000,1000,elements,43323839.0,ns,168
fibonacci(10),parallel_map-t1,1000,1000,elements,44811654.0,ns,172
fibonacci(10),parallel_map-t1,1000,1000,elements,46144010.0,ns,176
fibonacci(10),parallel_map-t1,1000,1000,elements,46696901.0,ns,180
fibonacci(10),parallel_map-t1,1000,1000,elements,47412126.0,ns,184
fibonacci(10),parallel_map-t1,1000,1000,elements,48453323.0,ns,188
fibonacci(10),parallel_map-t1,1000,1000,elements,49251551.0,ns,192
fibonacci(10),parallel_map-t1,1000,1000,elements,49818559.0,ns,196
fibonacci(10),parallel_map-t1,1000,1000,elements,51510390.0,ns,200
fibonacci(10),parallel_map-t1,1000,1000,elements,52305059.0,ns,204
fibonacci(10),parallel_map-t1,1000,1000,elements,54116320.0,ns,208
fibonacci(10),parallel_map-t1,1000,1000,elements,54527011.0,ns,212
fibonacci(10),parallel_map-t1,1000,1000,elements,56173889.0,ns,216
fibonacci(10),parallel_map-t1,1000,1000,elements,57350773.0,ns,220
fibonacci(10),parallel_map-t1,1000,1000,elements,58779221.0,ns,224
fibonacci(10),parallel_map-t1,1000,1000,elements,59377310.0,ns,228
fibonacci(10),parallel_map-t1,1000,1000,elements,60213615.0,ns,232
fibonacci(10),parallel_map-t1,1000,1000,elements,60380234.0,ns,236
fibonacci(10),parallel_map-t1,1000,1000,elements,62792863.0,ns,240
