group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(12),parallel_map-t2,1000,1000,elements,1062611.0,ns,4
fibonacci(12),parallel_map-t2,1000,1000,elements,2361054.0,ns,8
fibonacci(12),parallel_map-t2,1000,1000,elements,3188180.0,ns,12
fibonacci(12),parallel_map-t2,1000,1000,elements,4130972.0,ns,16
fibonacci(12),parallel_map-t2,1000,1000,elements,5049038.0,ns,20
fibonacci(12),parallel_map-t2,1000,1000,elements,6096075.0,ns,24
fibonacci(12),parallel_map-t2,1000,1000,elements,7139686.0,ns,28
fibonacci(12),parallel_map-t2,1000,1000,elements,8004372.0,ns,32
fibonacci(12),parallel_map-t2,1000,1000,elements,9049082.0,ns,36
fibonacci(12),parallel_map-t2,1000,1000,elements,10139549.0,ns,40
fibonacci(12),parallel_map-t2,1000,1000,elements,11169824.0,ns,44
fibonacci(12),parallel_map-t2,1000,1000,elements,12307861.0,ns,48
fibonacci(12),parallel_map-t2,1000,1000,elements,13966850.0,ns,52
fibonacci(12),parallel_map-t2,1000,1000,elements,14719685.0,ns,56
fibonacci(12),parallel_map-t2,1000,1000,elements,14993189.0,ns,60
fibonacci(12),parallel_map-t2,1000,1000,elements,18609862.0,ns,64
fibonacci(12),parallel_map-t2,1000,1000,elements,19837021.0,ns,68
fibonacci(12),parallel_map-t2,1000,1000,elements,18516907.0,ns,72
fibonacci(12),parallel_map-t2,1000,1000,elements,19799813.0,ns,76
fibonacci(12),parallel_map-t2,1000,1000,elements,20902526.0,ns,80
fibonacci(12),parallel_map-t2,1000,1000,elements,21114682.0,ns,84
fibonacci(12),parallel_map-t2,1000,1000,elements,22984161.0,ns,88
fibonacci(12),parallel_map-t2,1000,1000,elements,23771355.0,ns,92
fibonacci(12),parallel_map-t2,1000,1000,elements,24839370.0,ns,96
fibonacci(12),parallel_map-t2,1000,1000,elements,24801289.0,ns,100
fibonacci(12),parallel_map-t2,1000,1000,elements,26218443.0,ns,104
fibonacci(12),parallel_map-t2,1000,1000,elements,28249802.0,ns,108
fibonacci(12),parallel_map-t2,1000,1000,elements,28678479.0,ns,112
fibonacci(12),parallel_map-t2,1000,1000,elements,28836331.0,ns,116
fibonacci(12),parallel_map-t2,1000,1000,elements,30442944.0,ns,120
fibonacci(12),parallel_map-t2,1000,1000,elements,31596234.0,ns,124
fibonacci(12),parallel_map-t2,1000,1000,elements,33274646.0,ns,128
fibonacci(12),parallel_map-t2,1000,1000,elements,33179484.0,ns,132
fibonacci(12),parallel_map-t2,1000,1000,elements,34969295.0,ns,136
fibonacci(12),parallel_map-t2,1000,1000,elements,36282733.0,ns,140
fibonacci(12),parallel_map-t2,1000,1000,elements,36451941.0,ns,144
fibonacci(12),parallel_map-t2,1000,1000,elements,39061317.0,ns,148
fibonacci(12),parallel_map-t2,1000,1000,elements,39036557.0,ns,152
fibonacci(12),parallel_map-t2,1000,1000,elements,40185891.0,ns,156
fibonacci(12),parallel_map-t2,1000,1000,elements,40796169.0,ns,160
fibonacci(12),parallel_map-t2,1000,1000,elements,42347069.0,ns,164
fibonacci(12),parallel_map-t2,1000,1000,elements,44362294.0,ns,168
fibonacci(12),parallel_map-t2,1000,1000,elements,44261999.0,ns,172
fibonacci(12),parallel_map-t2,1000,1000,elements,45601468.0,ns,176
fibonacci(12),parallel_map-t2,1000,1000,elements,45614506.0,ns,180
fibonacci(12),parallel_map-t2,1000,1000,elements,47809721.0,ns,184
fibonacci(12),parallel_map-t2,1000,1000,elements,47409294.0,ns,188
fibonacci(12),parallel_map-t2,1000,1000,elements,49656815.0,ns,192
fibonacci(12),parallel_map-t2,1000,1000,elements,50000504.0,ns,196
fibonacci(12),parallel_map-t2,1000,1000,elements,51409176.0,ns,200
fibonacci(12),parallel_map-t2,1000,1000,elements,53391977.0,ns,204
fibonacci(12),parallel_map-t2,1000,1000,elements,53659824.0,ns,208
fibonacci(12),parallel_map-t2,1000,1000,elements,54234918.0,ns,212
fibonacci(12),parallel_map-t2,1000,1000,elements,56275100.0,ns,216
fibonacci(12),parallel_map-t2,1000,1000,elements,56305727.0,ns,220
fibonacci(12),parallel_map-t2,1000,1000,elements,57578406.0,ns,224
fibonacci(12),parallel_map-t2,1000,1000,elements,58803851.0,ns,228
fibonacci(12),parallel_map-t2,1000,1000,elements,59242873.0,ns,232
fibonacci(12),parallel_map-t2,1000,1000,elements,61279975.0,ns,236
fibonacci(12),parallel_map-t2,1000,1000,elements,61317460.0,ns,240
fibonacci(12),parallel_map-t2,1000,1000,elements,63677667.0,ns,244
fibonacci(12),parallel_map-t2,1000,1000,elements,64232807.0,ns,248
fibonacci(12),parallel_map-t2,1000,1000,elements,66096726.0,ns,252
fibonacci(12),parallel_map-t2,1000,1000,elements,66306308.0,ns,256
fibonacci(12),parallel_map-t2,1000,1000,elements,68116510.0,ns,260
fibonacci(12),parallel_map-t2,1000,1000,elements,67243039.0,ns,264
fibonacci(12),parallel_map-t2,1000,1000,elements,69063095.0,ns,268
fibonacci(12),parallel_map-t2,1000,1000,elements,70367139.0,ns,272
fibonacci(12),parallel_map-t2,1000,1000,elements,69420835.0,ns,276
fibonacci(12),parallel_map-t2,1000,1000,elements,72032153.0,ns,280
fibonacci(12),parallel_map-t2,1000,1000,elements,73762063.0,ns,284
fibonacci(12),parallel_map-t2,1000,1000,elements,73693891.0,ns,288
fibonacci(12),parallel_map-t2,1000,1000,elements,75539994.0,ns,292
fibonacci(12),parallel_map-t2,1000,1000,elements,75796434.0,ns,296
fibonacci(12),parallel_map-t2,1000,1000,elements,77063730.0,ns,300
fibonacci(12),parallel_map-t2,1000,1000,elements,76936384.0,ns,304
fibonacci(12),parallel_map-t2,1000,1000,elements,79959134.0,ns,308
fibonacci(12),parallel_map-t2,1000,1000,elements,81095224.0,ns,312
