group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(11),parallel_map-t4,10000,10000,elements,1596003.0,ns,1
fibonacci(11),parallel_map-t4,10000,10000,elements,3115132.0,ns,2
fibonacci(11),parallel_map-t4,10000,10000,elements,4755379.0,ns,3
fibonacci(11),parallel_map-t4,10000,10000,elements,6494529.0,ns,4
fibonacci(11),parallel_map-t4,10000,10000,elements,8000462.0,ns,5
fibonacci(11),parallel_map-t4,10000,10000,elements,9994768.0,ns,6
fibonacci(11),parallel_map-t4,10000,10000,elements,11478459.0,ns,7
fibonacci(11),parallel_map-t4,10000,10000,elements,13286495.0,ns,8
fibonacci(11),parallel_map-t4,10000,10000,elements,15024194.0,ns,9
fibonacci(11),parallel_map-t4,10000,10000,elements,16631097.0,ns,10
fibonacci(11),parallel_map-t4,10000,10000,elements,17095589.0,ns,11
fibonacci(11),parallel_map-t4,10000,10000,elements,18647507.0,ns,12
fibonacci(11),parallel_map-t4,10000,10000,elements,20289865.0,ns,13
fibonacci(11),parallel_map-t4,10000,10000,elements,21609336.0,ns,14
fibonacci(11),parallel_map-t4,10000,10000,elements,23310183.0,ns,15
fibonacci(11),parallel_map-t4,10000,10000,elements,24691992.0,ns,16
fibonacci(11),parallel_map-t4,10000,10000,elements,26394404.0,ns,17
fibonacci(11),parallel_map-t4,10000,10000,elements,27912987.0,ns,18
fibonacci(11),parallel_map-t4,10000,10000,elements,29569378.0,ns,19
fibonacci(11),parallel_map-t4,10000,10000,elements,30792424.0,ns,20
fibonacci(11),parallel_map-t4,10000,10000,elements,32811817.0,ns,21
fibonacci(11),parallel_map-t4,10000,10000,elements,34013081.0,ns,22
fibonacci(11),parallel_map-t4,10000,10000,elements,35537114.0,ns,23
fibonacci(11),parallel_map-t4,10000,10000,elements,38211601.0,ns,24
fibonacci(11),parallel_map-t4,10000,10000,elements,38908737.0,ns,25
fibonacci(11),parallel_map-t4,10000,10000,elements,39188824.0,ns,26
fibonacci(11),parallel_map-t4,10000,10000,elements,41370313.0,ns,27
fibonacci(11),parallel_map-t4,10000,10000,elements,43819929.0,ns,28
fibonacci(11),parallel_map-t4,10000,10000,elements,44805534.0,ns,29
fibonacci(11),parallel_map-t4,10000,10000,elements,46229759.0,ns,30
fibonacci(11),parallel_map-t4,10000,10000,elements,47756912.0,ns,31
fibonacci(11),parallel_map-t4,10000,10000,elements,51140000.0,ns,32
fibonacci(11),parallel_map-t4,10000,10000,elements,50896431.0,ns,33
fibonacci(11),parallel_map-t4,10000,10000,elements,53753548.0,ns,34
fibonacci(11),parallel_map-t4,10000,10000,elements,54619482.0,ns,35
fibonacci(11),parallel_map-t4,10000,10000,elements,54183186.0,ns,36
fibonacci(11),parallel_map-t4,10000,10000,elements,58182648.0,ns,37
fibonacci(11),parallel_map-t4,10000,10000,elements,58594894.0,ns,38
fibonacci(11),parallel_map-t4,10000,10000,elements,60985370.0,ns,39
fibonacci(11),parallel_map-t4,10000,10000,elements,62321968.0,ns,40
fibonacci(11),parallel_map-t4,10000,10000,elements,62738069.0,ns,41
fibonacci(11),parallel_map-t4,10000,10000,elements,66349688.0,ns,42
fibonacci(11),parallel_map-t4,10000,10000,elements,67293411.0,ns,43
fibonacci(11),parallel_map-t4,10000,10000,elements,68331905.0,ns,44
fibonacci(11),parallel_map-t4,10000,10000,elements,69441270.0,ns,45
fibonacci(11),parallel_map-t4,10000,10000,elements,70047768.0,ns,46
fibonacci(11),parallel_map-t4,10000,10000,elements,74014585.0,ns,47
fibonacci(11),parallel_map-t4,10000,10000,elements,75205816.0,ns,48
fibonacci(11),parallel_map-t4,10000,10000,elements,75183822.0,ns,49
fibonacci(11),parallel_map-t4,10000,10000,elements,77510497.0,ns,50
fibonacci(11),parallel_map-t4,10000,10000,elements,80917796.0,ns,51
fibonacci(11),parallel_map-t4,10000,10000,elements,84233995.0,ns,52
fibonacci(11),parallel_map-t4,10000,10000,elements,81731448.0,ns,53
fibonacci(11),parallel_map-t4,10000,10000,elements,84381818.0,ns,54
