group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),map,100000,100000,elements,63879058.0,ns,5
fibonacci(10),map,100000,100000,elements,63241008.0,ns,5
fibonacci(10),map,100000,100000,elements,62145232.0,ns,5
fibonacci(10),map,100000,100000,elements,63696736.0,ns,5
fibonacci(10),map,100000,100000,elements,63131127.0,ns,5
fibonacci(10),map,100000,100000,elements,62037314.0,ns,5
fibonacci(10),map,100000,100000,elements,61533111.0,ns,5
fibonacci(10),map,100000,100000,elements,61562732.0,ns,5
fibonacci(10),map,100000,100000,elements,61331187.0,ns,5
fibonacci(10),map,100000,100000,elements,61598970.0,ns,5
fibonacci(10),map,100000,100000,elements,61793963.0,ns,5
fibonacci(10),map,100000,100000,elements,61823068.0,ns,5
fibonacci(10),map,100000,100000,elements,61947674.0,ns,5
fibonacci(10),map,100000,100000,elements,62093932.0,ns,5
fibonacci(10),map,100000,100000,elements,60686120.0,ns,5
fibonacci(10),map,100000,100000,elements,62411249.0,ns,5
fibonacci(10),map,100000,100000,elements,61749410.0,ns,5
fibonacci(10),map,100000,100000,elements,61374311.0,ns,5
fibonacci(10),map,100000,100000,elements,62037614.0,ns,5
fibonacci(10),map,100000,100000,elements,61855530.0,ns,5
fibonacci(10),map,100000,100000,elements,64504210.0,ns,5
fibonacci(10),map,100000,100000,elements,61337094.0,ns,5
fibonacci(10),map,100000,100000,elements,61378579.0,ns,5
fibonacci(10),map,100000,100000,elements,62205984.0,ns,5
fibonacci(10),map,100000,100000,elements,61379305.0,ns,5
fibonacci(10),map,100000,100000,elements,62157657.0,ns,5
fibonacci(10),map,100000,100000,elements,61548786.0,ns,5
fibonacci(10),map,100000,100000,elements,61493178.0,ns,5
fibonacci(10),map,100000,100000,elements,62074832.0,ns,5
fibonacci(10),map,100000,100000,elements,62229772.0,ns,5
fibonacci(10),map,100000,100000,elements,61835170.0,ns,5
fibonacci(10),map,100000,100000,elements,62156423.0,ns,5
fibonacci(10),map,100000,100000,elements,61929747.0,ns,5
fibonacci(10),map,100000,100000,elements,61942778.0,ns,5
fibonacci(10),map,100000,100000,elements,61244725.0,ns,5
fibonacci(10),map,100000,100000,elements,61003201.0,ns,5
fibonacci(10),map,100000,100000,elements,61712916.0,ns,5
fibonacci(10),map,100000,100000,elements,61597080.0,ns,5
fibonacci(10),map,100000,100000,elements,61694027.0,ns,5
fibonacci(10),map,100000,100000,elements,61721346.0,ns,5
fibonacci(10),map,100000,100000,elements,61795630.0,ns,5
fibonacci(10),map,100000,100000,elements,61604875.0,ns,5
fibonacci(10),map,100000,100000,elements,61614921.0,ns,5
fibonacci(10),map,100000,100000,elements,61350140.0,ns,5
fibonacci(10),map,100000,100000,elements,61701796.0,ns,5
