group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(11),parallel_map-t2,1,1,elements,1112567.0,ns,59
fibonacci(11),parallel_map-t2,1,1,elements,1865889.0,ns,118
fibonacci(11),parallel_map-t2,1,1,elements,2842213.0,ns,177
fibonacci(11),parallel_map-t2,1,1,elements,3744588.0,ns,236
fibonacci(11),parallel_map-t2,1,1,elements,4733636.0,ns,295
fibonacci(11),parallel_map-t2,1,1,elements,5810924.0,ns,354
fibonacci(11),parallel_map-t2,1,1,elements,6797149.0,ns,413
fibonacci(11),parallel_map-t2,1,1,elements,8126784.0,ns,472
fibonacci(11),parallel_map-t2,1,1,elements,9805968.0,ns,531
fibonacci(11),parallel_map-t2,1,1,elements,9442661.0,ns,590
fibonacci(11),parallel_map-t2,1,1,elements,10552803.0,ns,649
fibonacci(11),parallel_map-t2,1,1,elements,12402320.0,ns,708
fibonacci(11),parallel_map-t2,1,1,elements,12280559.0,ns,767
fibonacci(11),parallel_map-t2,1,1,elements,14184761.0,ns,826
fibonacci(11),parallel_map-t2,1,1,elements,14824552.0,ns,885
fibonacci(11),parallel_map-t2,1,1,elements,14896967.0,ns,944
fibonacci(11),parallel_map-t2,1,1,elements,17323559.0,ns,1003
fibonacci(11),parallel_map-t2,1,1,elements,17797833.0,ns,1062
fibonacci(11),parallel_map-t2,1,1,elements,18108423.0,ns,1121
fibonacci(11),parallel_map-t2,1,1,elements,20976417.0,ns,1180
fibonacci(11),parallel_map-t2,1,1,elements,19858696.0,ns,1239
fibonacci(11),parallel_map-t2,1,1,elements,21543416.0,ns,1298
fibonacci(11),parallel_map-t2,1,1,elements,23630082.0,ns,1357
fibonacci(11),parallel_map-t2,1,1,elements,22851800.0,ns,1416
fibonacci(11),parallel_map-t2,1,1,elements,25262647.0,ns,1475
fibonacci(11),parallel_map-t2,1,1,elements,24043567.0,ns,1534
fibonacci(11),parallel_map-t2,1,1,elements,27385836.0,ns,1593
fibonacci(11),parallel_map-t2,1,1,elements,26995473.0,ns,1652
fibonacci(11),parallel_map-t2,1,1,elements,28662901.0,ns,1711
fibonacci(11),parallel_map-t2,1,1,elements,29012609.0,ns,1770
fibonacci(11),parallel_map-t2,1,1,elements,36557221.0,ns,1829
fibonacci(11),parallel_map-t2,1,1,elements,31027645.0,ns,1888
fibonacci(11),parallel_map-t2,1,1,elements,34550856.0,ns,1947
fibonacci(11),parallel_map-t2,1,1,elements,32996346.0,ns,2006
fibonacci(11),parallel_map-t2,1,1,elements,34828227.0,ns,2065
fibonacci(11),parallel_map-t2,1,1,elements,35433088.0,ns,2124
fibonacci(11),parallel_map-t2,1,1,elements,35805682.0,ns,2183
fibonacci(11),parallel_map-t2,1,1,elements,37772864.0,ns,2242
fibonacci(11),parallel_map-t2,1,1,elements,38422460.0,ns,2301
fibonacci(11),parallel_map-t2,1,1,elements,40004733.0,ns,2360
fibonacci(11),parallel_map-t2,1,1,elements,39616141.0,ns,2419
fibonacci(11),parallel_map-t2,1,1,elements,42083338.0,ns,2478
fibonacci(11),parallel_map-t2,1,1,elements,42030565.0,ns,2537
