group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),parallel_map-t2,1000,1000,elements,1064926.0,ns,6
fibonacci(10),parallel_map-t2,1000,1000,elements,1975969.0,ns,12
fibonacci(10),parallel_map-t2,1000,1000,elements,2818009.0,ns,18
fibonacci(10),parallel_map-t2,1000,1000,elements,3828999.0,ns,24
fibonacci(10),parallel_map-t2,1000,1000,elements,4845773.0,ns,30
fibonacci(10),parallel_map-t2,1000,1000,elements,5750356.0,ns,36
fibonacci(10),parallel_map-t2,1000,1000,elements,6602238.0,ns,42
fibonacci(10),parallel_map-t2,1000,1000,elements,8077314.0,ns,48
fibonacci(10),parallel_map-t2,1000,1000,elements,8670784.0,ns,54
fibonacci(10),parallel_map-t2,1000,1000,elements,9717991.0,ns,60
fibonacci(10),parallel_map-t2,1000,1000,elements,10471908.0,ns,66
fibonacci(10),parallel_map-t2,1000,1000,elements,11758168.0,ns,72
fibonacci(10),parallel_map-t2,1000,1000,elements,12576336.0,ns,78
fibonacci(10),parallel_map-t2,1000,1000,elements,13141591.0,ns,84
fibonacci(10),parallel_map-t2,1000,1000,elements,14338118.0,ns,90
fibonacci(10),parallel_map-t2,1000,1000,elements,15161997.0,ns,96
fibonacci(10),parallel_map-t2,1000,1000,elements,16439783.0,ns,102
fibonacci(10),parallel_map-t2,1000,1000,elements,17831065.0,ns,108
fibonacci(10),parallel_map-t2,1000,1000,elements,17820009.0,ns,114
fibonacci(10),parallel_map-t2,1000,1000,elements,19462646.0,ns,120
fibonacci(10),parallel_map-t2,1000,1000,elements,19921951.0,ns,126
fibonacci(10),parallel_map-t2,1000,1000,elements,21300548.0,ns,132
fibonacci(10),parallel_map-t2,1000,1000,elements,21946479.0,ns,138
fibonacci(10),parallel_map-t2,1000,1000,elements,23179051.0,ns,144
fibonacci(10),parallel_map-t2,1000,1000,elements,24251802.0,ns,150
fibonacci(10),parallel_map-t2,1000,1000,elements,25600554.0,ns,156
fibonacci(10),parallel_map-t2,1000,1000,elements,26484230.0,ns,162
fibonacci(10),parallel_map-t2,1000,1000,elements,26929802.0,ns,168
fibonacci(10),parallel_map-t2,1000,1000,elements,28028847.0,ns,174
fibonacci(10),parallel_map-t2,1000,1000,elements,28919018.0,ns,180
fibonacci(10),parallel_map-t2,1000,1000,elements,29787815.0,ns,186
fibonacci(10),parallel_map-t2,1000,1000,elements,30821926.0,ns,192
fibonacci(10),parallel_map-t2,1000,1000,elements,32046111.0,ns,198
fibonacci(10),parallel_map-t2,1000,1000,elements,34389283.0,ns,204
fibonacci(10),parallel_map-t2,1000,1000,elements,36271573.0,ns,210
fibonacci(10),parallel_map-t2,1000,1000,elements,39142828.0,ns,216
fibonacci(10),parallel_map-t2,1000,1000,elements,39180080.0,ns,222
fibonacci(10),parallel_map-t2,1000,1000,elements,38925331.0,ns,228
fibonacci(10),parallel_map-t2,1000,1000,elements,40836176.0,ns,234
fibonacci(10),parallel_map-t2,1000,1000,elements,41896895.0,ns,240
fibonacci(10),parallel_map-t2,1000,1000,elements,42048459.0,ns,246
fibonacci(10),parallel_map-t2,1000,1000,elements,41405352.0,ns,252
fibonacci(10),parallel_map-t2,1000,1000,elements,42790204.0,ns,258
fibonacci(10),parallel_map-t2,1000,1000,elements,42154413.0,ns,264
fibonacci(10),parallel_map-t2,1000,1000,elements,43578584.0,ns,270
fibonacci(10),parallel_map-t2,1000,1000,elements,43195932.0,ns,276
fibonacci(10),parallel_map-t2,1000,1000,elements,45683894.0,ns,282
fibonacci(10),parallel_map-t2,1000,1000,elements,49058951.0,ns,288
fibonacci(10),parallel_map-t2,1000,1000,elements,54629538.0,ns,294
fibonacci(10),parallel_map-t2,1000,1000,elements,52205337.0,ns,300
fibonacci(10),parallel_map-t2,1000,1000,elements,50570987.0,ns,306
fibonacci(10),parallel_map-t2,1000,1000,elements,50166533.0,ns,312
fibonacci(10),parallel_map-t2,1000,1000,elements,51249858.0,ns,318
fibonacci(10),parallel_map-t2,1000,1000,elements,52826654.0,ns,324
