group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(12),parallel_map-t2,100,100,elements,997347.0,ns,24
fibonacci(12),parallel_map-t2,100,100,elements,2091990.0,ns,48
fibonacci(12),parallel_map-t2,100,100,elements,3182454.0,ns,72
fibonacci(12),parallel_map-t2,100,100,elements,4166254.0,ns,96
fibonacci(12),parallel_map-t2,100,100,elements,5039662.0,ns,120
fibonacci(12),parallel_map-t2,100,100,elements,6039707.0,ns,144
fibonacci(12),parallel_map-t2,100,100,elements,7030029.0,ns,168
fibonacci(12),parallel_map-t2,100,100,elements,7963476.0,ns,192
fibonacci(12),parallel_map-t2,100,100,elements,8971574.0,ns,216
fibonacci(12),parallel_map-t2,100,100,elements,10446259.0,ns,240
fibonacci(12),parallel_map-t2,100,100,elements,10745909.0,ns,264
fibonacci(12),parallel_map-t2,100,100,elements,11894736.0,ns,288
fibonacci(12),parallel_map-t2,100,100,elements,13241520.0,ns,312
fibonacci(12),parallel_map-t2,100,100,elements,14154870.0,ns,336
fibonacci(12),parallel_map-t2,100,100,elements,15590608.0,ns,360
fibonacci(12),parallel_map-t2,100,100,elements,16581693.0,ns,384
fibonacci(12),parallel_map-t2,100,100,elements,17362136.0,ns,408
fibonacci(12),parallel_map-t2,100,100,elements,18480732.0,ns,432
fibonacci(12),parallel_map-t2,100,100,elements,18950292.0,ns,456
fibonacci(12),parallel_map-t2,100,100,elements,20421639.0,ns,480
fibonacci(12),parallel_map-t2,100,100,elements,21022273.0,ns,504
fibonacci(12),parallel_map-t2,100,100,elements,23738638.0,ns,528
fibonacci(12),parallel_map-t2,100,100,elements,22875241.0,ns,552
fibonacci(12),parallel_map-t2,100,100,elements,24271948.0,ns,576
fibonacci(12),parallel_map-t2,100,100,elements,25291073.0,ns,600
fibonacci(12),parallel_map-t2,100,100,elements,26138774.0,ns,624
fibonacci(12),parallel_map-t2,100,100,elements,27546834.0,ns,648
fibonacci(12),parallel_map-t2,100,100,elements,28999750.0,ns,672
fibonacci(12),parallel_map-t2,100,100,elements,29208113.0,ns,696
fibonacci(12),parallel_map-t2,100,100,elements,30554495.0,ns,720
fibonacci(12),parallel_map-t2,100,100,elements,31153501.0,ns,744
fibonacci(12),parallel_map-t2,100,100,elements,33107038.0,ns,768
fibonacci(12),parallel_map-t2,100,100,elements,33591018.0,ns,792
fibonacci(12),parallel_map-t2,100,100,elements,34163908.0,ns,816
fibonacci(12),parallel_map-t2,100,100,elements,35108796.0,ns,840
fibonacci(12),parallel_map-t2,100,100,elements,37427780.0,ns,864
fibonacci(12),parallel_map-t2,100,100,elements,36914204.0,ns,888
fibonacci(12),parallel_map-t2,100,100,elements,38389711.0,ns,912
fibonacci(12),parallel_map-t2,100,100,elements,38851664.0,ns,936
fibonacci(12),parallel_map-t2,100,100,elements,40810469.0,ns,960
fibonacci(12),parallel_map-t2,100,100,elements,42059454.0,ns,984
fibonacci(12),parallel_map-t2,100,100,elements,43008820.0,ns,1008
fibonacci(12),parallel_map-t2,100,100,elements,44608691.0,ns,1032
fibonacci(12),parallel_map-t2,100,100,elements,44434157.0,ns,1056
fibonacci(12),parallel_map-t2,100,100,elements,44799655.0,ns,1080
fibonacci(12),parallel_map-t2,100,100,elements,47630412.0,ns,1104
fibonacci(12),parallel_map-t2,100,100,elements,47468261.0,ns,1128
fibonacci(12),parallel_map-t2,100,100,elements,48573045.0,ns,1152
fibonacci(12),parallel_map-t2,100,100,elements,50400528.0,ns,1176
fibonacci(12),parallel_map-t2,100,100,elements,50878555.0,ns,1200
fibonacci(12),parallel_map-t2,100,100,elements,51246768.0,ns,1224
fibonacci(12),parallel_map-t2,100,100,elements,53430796.0,ns,1248
fibonacci(12),parallel_map-t2,100,100,elements,53799505.0,ns,1272
fibonacci(12),parallel_map-t2,100,100,elements,55282782.0,ns,1296
fibonacci(12),parallel_map-t2,100,100,elements,56429131.0,ns,1320
fibonacci(12),parallel_map-t2,100,100,elements,56154029.0,ns,1344
fibonacci(12),parallel_map-t2,100,100,elements,58241125.0,ns,1368
fibonacci(12),parallel_map-t2,100,100,elements,58099222.0,ns,1392
fibonacci(12),parallel_map-t2,100,100,elements,60544512.0,ns,1416
fibonacci(12),parallel_map-t2,100,100,elements,60837053.0,ns,1440
fibonacci(12),parallel_map-t2,100,100,elements,62105962.0,ns,1464
fibonacci(12),parallel_map-t2,100,100,elements,62190390.0,ns,1488
fibonacci(12),parallel_map-t2,100,100,elements,63722659.0,ns,1512
fibonacci(12),parallel_map-t2,100,100,elements,65144138.0,ns,1536
fibonacci(12),parallel_map-t2,100,100,elements,65916665.0,ns,1560
fibonacci(12),parallel_map-t2,100,100,elements,67160652.0,ns,1584
fibonacci(12),parallel_map-t2,100,100,elements,66578631.0,ns,1608
fibonacci(12),parallel_map-t2,100,100,elements,69598427.0,ns,1632
fibonacci(12),parallel_map-t2,100,100,elements,69907198.0,ns,1656
fibonacci(12),parallel_map-t2,100,100,elements,71456932.0,ns,1680
fibonacci(12),parallel_map-t2,100,100,elements,71597108.0,ns,1704
fibonacci(12),parallel_map-t2,100,100,elements,73155141.0,ns,1728
fibonacci(12),parallel_map-t2,100,100,elements,73946505.0,ns,1752
fibonacci(12),parallel_map-t2,100,100,elements,76457229.0,ns,1776
fibonacci(12),parallel_map-t2,100,100,elements,76806841.0,ns,1800
fibonacci(12),parallel_map-t2,100,100,elements,75897426.0,ns,1824
fibonacci(12),parallel_map-t2,100,100,elements,78199303.0,ns,1848
fibonacci(12),parallel_map-t2,100,100,elements,79827687.0,ns,1872
fibonacci(12),parallel_map-t2,100,100,elements,80691592.0,ns,1896
