group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),map,1000,1000,elements,1012188.0,ns,8
fibonacci(10),map,1000,1000,elements,1980033.0,ns,16
fibonacci(10),map,1000,1000,elements,2956260.0,ns,24
fibonacci(10),map,1000,1000,elements,3986853.0,ns,32
fibonacci(10),map,1000,1000,elements,5077997.0,ns,40
fibonacci(10),map,1000,1000,elements,5965142.0,ns,48
fibonacci(10),map,1000,1000,elements,6930555.0,ns,56
fibonacci(10),map,1000,1000,elements,7917166.0,ns,64
fibonacci(10),map,1000,1000,elements,9008956.0,ns,72
fibonacci(10),map,1000,1000,elements,9911067.0,ns,80
fibonacci(10),map,1000,1000,elements,10921191.0,ns,88
fibonacci(10),map,1000,1000,elements,11910414.0,ns,96
fibonacci(10),map,1000,1000,elements,12446661.0,ns,104
fibonacci(10),map,1000,1000,elements,13838267.0,ns,112
fibonacci(10),map,1000,1000,elements,15097767.0,ns,120
fibonacci(10),map,1000,1000,elements,16022825.0,ns,128
fibonacci(10),map,1000,1000,elements,17288375.0,ns,136
fibonacci(10),map,1000,1000,elements,18699869.0,ns,144
fibonacci(10),map,1000,1000,elements,19182779.0,ns,152
fibonacci(10),map,1000,1000,elements,20125238.0,ns,160
fibonacci(10),map,1000,1000,elements,21404789.0,ns,168
fibonacci(10),map,1000,1000,elements,22217300.0,ns,176
fibonacci(10),map,1000,1000,elements,23183938.0,ns,184
fibonacci(10),map,1000,1000,elements,24211000.0,ns,192
fibonacci(10),map,1000,1000,elements,25149432.0,ns,200
fibonacci(10),map,1000,1000,elements,26188159.0,ns,208
fibonacci(10),map,1000,1000,elements,27018818.0,ns,216
fibonacci(10),map,1000,1000,elements,28476255.0,ns,224
fibonacci(10),map,1000,1000,elements,29274666.0,ns,232
fibonacci(10),map,1000,1000,elements,30255137.0,ns,240
fibonacci(10),map,1000,1000,elements,31036256.0,ns,248
fibonacci(10),map,1000,1000,elements,32697217.0,ns,256
fibonacci(10),map,1000,1000,elements,34019486.0,ns,264
fibonacci(10),map,1000,1000,elements,33689202.0,ns,272
fibonacci(10),map,1000,1000,elements,34507594.0,ns,280
fibonacci(10),map,1000,1000,elements,35884850.0,ns,288
fibonacci(10),map,1000,1000,elements,36168678.0,ns,296
