group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(12),map,1,1,elements,876538.0,ns,2653
fibonacci(12),map,1,1,elements,1799741.0,ns,5306
fibonacci(12),map,1,1,elements,2600620.0,ns,7959
fibonacci(12),map,1,1,elements,3494494.0,ns,10612
fibonacci(12),map,1,1,elements,4433504.0,ns,13265
fibonacci(12),map,1,1,elements,5277775.0,ns,15918
fibonacci(12),map,1,1,elements,6227470.0,ns,18571
fibonacci(12),map,1,1,elements,7028312.0,ns,21224
fibonacci(12),map,1,1,elements,7853381.0,ns,23877
fibonacci(12),map,1,1,elements,8639141.0,ns,26530
fibonacci(12),map,1,1,elements,9858687.0,ns,29183
fibonacci(12),map,1,1,elements,10368421.0,ns,31836
fibonacci(12),map,1,1,elements,11033564.0,ns,34489
fibonacci(12),map,1,1,elements,12000222.0,ns,37142
fibonacci(12),map,1,1,elements,13300171.0,ns,39795
fibonacci(12),map,1,1,elements,14087652.0,ns,42448
fibonacci(12),map,1,1,elements,15269542.0,ns,45101
fibonacci(12),map,1,1,elements,15901462.0,ns,47754
fibonacci(12),map,1,1,elements,16536694.0,ns,50407
fibonacci(12),map,1,1,elements,17362877.0,ns,53060
fibonacci(12),map,1,1,elements,18420831.0,ns,55713
fibonacci(12),map,1,1,elements,19332874.0,ns,58366
fibonacci(12),map,1,1,elements,20070685.0,ns,61019
fibonacci(12),map,1,1,elements,20778944.0,ns,63672
fibonacci(12),map,1,1,elements,21799266.0,ns,66325
fibonacci(12),map,1,1,elements,22732993.0,ns,68978
fibonacci(12),map,1,1,elements,23899109.0,ns,71631
fibonacci(12),map,1,1,elements,24226010.0,ns,74284
fibonacci(12),map,1,1,elements,25509062.0,ns,76937
fibonacci(12),map,1,1,elements,26074091.0,ns,79590
fibonacci(12),map,1,1,elements,26931551.0,ns,82243
fibonacci(12),map,1,1,elements,27693057.0,ns,84896
fibonacci(12),map,1,1,elements,29023519.0,ns,87549
fibonacci(12),map,1,1,elements,29801983.0,ns,90202
fibonacci(12),map,1,1,elements,30461659.0,ns,92855
fibonacci(12),map,1,1,elements,31665325.0,ns,95508
fibonacci(12),map,1,1,elements,32372359.0,ns,98161
fibonacci(12),map,1,1,elements,33057359.0,ns,100814
fibonacci(12),map,1,1,elements,34231025.0,ns,103467
fibonacci(12),map,1,1,elements,34934997.0,ns,106120
fibonacci(12),map,1,1,elements,35986226.0,ns,108773
fibonacci(12),map,1,1,elements,36638709.0,ns,111426
fibonacci(12),map,1,1,elements,37716686.0,ns,114079
fibonacci(12),map,1,1,elements,38616921.0,ns,116732
fibonacci(12),map,1,1,elements,39151785.0,ns,119385
fibonacci(12),map,1,1,elements,40518875.0,ns,122038
fibonacci(12),map,1,1,elements,40733741.0,ns,124691
fibonacci(12),map,1,1,elements,42175658.0,ns,127344
fibonacci(12),map,1,1,elements,42759561.0,ns,129997
fibonacci(12),map,1,1,elements,43810871.0,ns,132650
fibonacci(12),map,1,1,elements,44055615.0,ns,135303
fibonacci(12),map,1,1,elements,45731114.0,ns,137956
fibonacci(12),map,1,1,elements,45827117.0,ns,140609
fibonacci(12),map,1,1,elements,47379130.0,ns,143262
fibonacci(12),map,1,1,elements,47711297.0,ns,145915
fibonacci(12),map,1,1,elements,48846530.0,ns,148568
fibonacci(12),map,1,1,elements,49317859.0,ns,151221
fibonacci(12),map,1,1,elements,50721169.0,ns,153874
fibonacci(12),map,1,1,elements,52001304.0,ns,156527
fibonacci(12),map,1,1,elements,52385161.0,ns,159180
fibonacci(12),map,1,1,elements,53669185.0,ns,161833
fibonacci(12),map,1,1,elements,54449551.0,ns,164486
fibonacci(12),map,1,1,elements,55100765.0,ns,167139
fibonacci(12),map,1,1,elements,56118866.0,ns,169792
fibonacci(12),map,1,1,elements,56881439.0,ns,172445
fibonacci(12),map,1,1,elements,57691759.0,ns,175098
fibonacci(12),map,1,1,elements,58492978.0,ns,177751
fibonacci(12),map,1,1,elements,59382578.0,ns,180404
fibonacci(12),map,1,1,elements,60023075.0,ns,183057
fibonacci(12),map,1,1,elements,60962561.0,ns,185710
fibonacci(12),map,1,1,elements,62568564.0,ns,188363
fibonacci(12),map,1,1,elements,63160668.0,ns,191016
fibonacci(12),map,1,1,elements,63226950.0,ns,193669
fibonacci(12),map,1,1,elements,64586707.0,ns,196322
fibonacci(12),map,1,1,elements,66009851.0,ns,198975
fibonacci(12),map,1,1,elements,66607235.0,ns,201628
fibonacci(12),map,1,1,elements,67400379.0,ns,204281
fibonacci(12),map,1,1,elements,67596017.0,ns,206934
fibonacci(12),map,1,1,elements,69712412.0,ns,209587
fibonacci(12),map,1,1,elements,70308776.0,ns,212240
fibonacci(12),map,1,1,elements,71181708.0,ns,214893
fibonacci(12),map,1,1,elements,71186682.0,ns,217546
fibonacci(12),map,1,1,elements,72645417.0,ns,220199
fibonacci(12),map,1,1,elements,73526102.0,ns,222852
fibonacci(12),map,1,1,elements,74402853.0,ns,225505
fibonacci(12),map,1,1,elements,74991048.0,ns,228158
fibonacci(12),map,1,1,elements,75847062.0,ns,230811
fibonacci(12),map,1,1,elements,77483447.0,ns,233464
fibonacci(12),map,1,1,elements,77669508.0,ns,236117
fibonacci(12),map,1,1,elements,79182378.0,ns,238770
fibonacci(12),map,1,1,elements,79310555.0,ns,241423
fibonacci(12),map,1,1,elements,80619444.0,ns,244076
fibonacci(12),map,1,1,elements,81329688.0,ns,246729
fibonacci(12),map,1,1,elements,82047350.0,ns,249382
fibonacci(12),map,1,1,elements,82813322.0,ns,252035
fibonacci(12),map,1,1,elements,84427400.0,ns,254688
fibonacci(12),map,1,1,elements,84578207.0,ns,257341
fibonacci(12),map,1,1,elements,85224208.0,ns,259994
fibonacci(12),map,1,1,elements,87171923.0,ns,262647
fibonacci(12),map,1,1,elements,87943650.0,ns,265300
